date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-14,3.5057959596662505,1.2429746600626483,5.8339136934255835,3577564803
2025-03-15,3.5979242541301835,1.1063370178517402,6.10479167170849,3577564803
2025-03-16,3.680845142538775,1.3834997622449683,5.902327265199252,3577564803
2025-03-17,3.755010960326926,1.410546262738917,6.216670996804562,3577564803
2025-03-18,3.821147587087686,1.4411207022684573,5.910082274671894,3577564803
2025-03-19,3.8802129263559118,1.400914740707866,5.9456209755798035,3577564803
2025-03-20,3.9333461366053535,1.6451930053359005,6.226811074763285,3577564803
2025-03-21,3.9818094904375174,1.4400114351716,6.28359621503584,3577564803
2025-03-22,4.026925027404305,1.6400487391334826,6.456505102218108,3577564803
2025-03-23,4.070008380449362,1.844251865893174,6.282778983150559,3577564803
2025-03-24,4.112302288541466,1.857738044736973,6.4015530995162635,3577564803
2025-03-25,4.154912353589742,1.812267612642933,6.49963399840977,3577564803
2025-03-26,4.198747555808008,2.006770308213854,6.477978675157785,3577564803
2025-03-27,4.244467909011057,1.8578446272450477,6.670003700602106,3577564803
2025-03-28,4.2924414194405935,2.111796855148686,6.826377796948523,3577564803
2025-03-29,4.342712215141593,2.0732846305562647,6.756439785940232,3577564803
2025-03-30,4.394981346825295,2.122856654189172,6.824128938246468,3577564803
2025-03-31,4.448601336935755,2.0245228955713057,6.904166482621682,3577564803
2025-01-28,1.0,0.9999999986580624,1.0000000013387094,43464179063
2025-01-29,1.0,0.9999999987474625,1.000000001301363,43464179063
2025-01-30,1.0,0.99999999864215,1.000000001258286,43464179063
2025-01-31,1.0,0.9999999987191386,1.000000001262344,43464179063
2025-02-01,1.0,0.999999998655543,1.0000000012826746,43464179063
2025-02-02,1.0,0.9999999986197414,1.0000000014321386,43464179063
2025-02-03,1.0,0.999999998695566,1.000000001407692,43464179063
2025-02-04,1.0,0.9999999985631487,1.0000000014500894,43464179063
2025-02-05,1.0,0.9999999984941845,1.0000000013791348,43464179063
2025-02-06,1.0,0.9999999984758596,1.0000000014437458,43464179063
2025-02-07,1.0,0.9999999983009017,1.0000000015226742,43464179063
